Sven Taddicken
Jang Gyu-seong
John Gray
Charles Vidor
Delmer Daves
Mike Leigh
Larry Jacobs
Sara Sugarman
Robert Fuest
Mike Clattenburg
Joe Dante
Merian C. Cooper
Tage Danielsson
Mira Nair
Jackie Kong
Ben Sharpsteen
Peter Bogdanovich
Michael Lembeck
Billy Crystal
Masahiro Shinoda
Josef von Sternberg
Nick Park
Emilio Maillé
Carlos Carrera
Joseph H. Lewis
Wes Craven
Fran Rubel Kuzui
Sidney Gilliat
Jonathan M. Parisen
Byung-cheon Min
Bob Kelljan
John M. Stahl
J. Lee Thompson
Marc Rocco
Jack Kinney
Louis Leterrier
Michael Tuchner
Peter Yates
Kevin Spacey
Michelangelo Antonioni
Vikram Bhatt
Peter Chan
Vincent Gallo
Dave McLaughlin
Stephen Sommers
Jeffrey Porter
Donna Deitch
Will Hay
James Clavell
Vasili Pichul
Steve Buscemi
André Bonzel
David DeCoteau
Tony Richardson
Francis Glebas
Sachin Bhowmick
Marcus Adams
Stanley Kramer
Mike Nichols
Vidhu Vinod Chopra
Radley Metzger
Alan Alda
Jack Bender
Peter Richardson
Ridley Scott
Bruce Beresford
Bronwen Hughes
David Wain
Christopher Erskin
Ed Wood
Pete Walker
Tay Garnett
Jack Hively
N. T. Rama Rao
Tonino Valerii
Antonio Margheriti
Ronald Neame
Krzysztof Kieślowski
Paul Thomas Anderson
Adam Bhala Lough
Ettore Scola
Randhir Kapoor
Cheon Se-hwan
Anthony Simmons
Randal Kleiser
S. Shankar
Cristina Comencini
Ana Clavell
Daniel Lee
Mahesh Bhatt
Dave Meyers
Mark Dornford-May
Manmohan Desai
Larry Charles
J. P. Dutta
William Asher
Warren Beatty
Nikos Perakis
Olivier Assayas
Michael Cooney
Jan de Bont
Alan Arkin
Peter Greenaway
Raj Kanwar
David Hand
Christopher Menaul
Tim Burton
James Foley
Marco Brambilla
Kirk Wong
Edward Buzzell
Spike Lee
Timur Bekmambetov
Wang Xiaoshuai
Walter Hill
Angela Robinson
Caroline Link
Gene Wilder
Jafar Panahi
D. J. Caruso
Ferzan Özpetek
Pier Paolo Pasolini
Miloš Forman
Alan Rudolph
David M. Evans
Marcos Siega
Ethan Coen
Martyn Burke
Christian Duguay
André Téchiné
Kim Dong-bin
Peter Markle
Arthur Hiller
Emeric Pressburger
Tyler Perry
Yuichi Abe
Mark Robson
David Peoples
Beth Schacter
Robert Altman
Bob Clark
Keenen Ivory Wayans
Daniel De La Vega
David S. Goyer
Nikhil Advani
Andy Cadiff
Chris Columbus
Richard Kelly
David Zucker
Jonathan Liebesman
Samuel Fuller
Sam Peckinpah
Ana Kokkinos
Ron Underwood
Bob Fosse
Antoine Fuqua
Jacques Tourneur
Christopher Doyle
Partho Sen-Gupta
Frank Launder
